"country","medianHouseholdIncome","medianPerCapitaIncome","pop2020"
"Norway","51489","19308","5421.2410"
"Sweden","50514","18632","10099.2650"
"Luxembourg","52493","18418","625.9780"
"Denmark","44360","18262","5792.2020"
"Finland","24615","15725","5540.7200"
"United States","43585","15480","331002.6510"
"Canada","41280","15181","37742.1540"
"Australia","46555","15026","25499.8840"
"Netherlands","38584","14450","17134.8720"
"Germany","33333","14098","83783.9420"
"France","31112","12445","65273.5110"
"United Kingdom","31617","12399","67886.0110"
"Austria","34911","12284","9006.3980"
"New Zealand","35562","12147","4822.2330"
"South Korea","40861","11950","51269.1850"
"Japan","33822","10840","126476.4610"
"Belgium","26703","10189","11589.6230"
"Hong Kong","35443","9705","7496.9810"
"Slovenia","25969","8656","2078.9380"
"Ireland","25085","8048","4937.7860"
"Israel","30364","7847","8655.5350"
"Czech Republic","22913","7821","10708.9810"
"Kuwait","40854","7487","4270.5710"
"Singapore","32360","7345","5850.3420"
"Spain","21959","7284","46754.7780"
"Taiwan","32762","6882","23816.7750"
"Italy","20085","6874","60461.8260"
"Malta","21141","6869","441.5430"
"Greece","17777","6086","10423.0540"
"Portugal","16186","5519","10196.7090"
"Slovakia","17415","5455","5459.6420"
"Belarus","15085","5236","9449.3230"
"Croatia","16231","5177","4105.2670"
"Qatar","26555","5117","2881.0530"
"Estonia","12577","5031","1326.5350"
"Cyprus","18242","4932","1207.3590"
"Bahrain","24693","4778","1701.5750"
"Saudi Arabia","24980","4762","34813.8710"
"Lithuania","12375","4719","2722.2890"
"Poland","15338","4578","37846.6110"
"Hungary","12445","4493","9660.3510"
"Russia","11724","4129","145934.4620"
"Argentina","14432","4109","45195.7740"
"Latvia","10461","4000","1886.1980"
"Ukraine","11074","3876","43733.7620"
"Montenegro","11519","3123","628.0660"
"Iran","12046","3115","83992.9490"
"Serbia","8921","3020","8737.3710"
"Lebanon","13004","2960","6825.4450"
"Mexico","11680","2900","128932.7530"
"Bulgaria","8487","2829","6948.4450"
"Romania","7922","2618","19237.6910"
"Bosnia and Herzegovina","7383","2553","3280.8190"
"Turkey","8955","2538","84339.0670"
"Uruguay","7949","2488","3473.7300"
"Azerbaijan","11446","2430","10139.1770"
"Venezuela","11299","2328","28435.9400"
"Malaysia","11207","2267","32365.9990"
"Brazil","7522","2247","212559.4170"
"Chile","8098","2040","19116.2010"
"Costa Rica","8929","2032","5094.1180"
"Panama","8356","2011","4314.7670"
"Macedonia","8606","1990","2083.3740"
"Kazakhstan","7492","1958","18776.7070"
"Albania","7314","1902","2877.7970"
"Thailand","7029","1795","69799.9780"
"China","6180","1786","1439323.7760"
"Ecuador","6858","1682","17643.0540"
"Tunisia","8966","1646","11818.6190"
"Dominican Republic","6302","1623","10847.9100"
"Jordan","8276","1550","10203.1340"
"Colombia","6544","1534","50882.8910"
"Mongolia","5922","1440","3278.2900"
"Syria","8193","1431","17500.6580"
"Bolivia","6399","1403","11673.0210"
"Algeria","7849","1392","43851.0440"
"Moldova","4158","1329","4033.9630"
"Paraguay","6179","1292","7132.5380"
"South Africa","5217","1217","59308.6900"
"Nicaragua","6488","1173","6624.5540"
"Morocco","6634","1135","36910.5600"
"Vietnam","4783","1124","97338.5790"
"El Salvador","4828","1114","6486.2050"
"Peru","5161","1077","32971.8540"
"Libya","6398","1012","6871.2920"
"Armenia","3865","926","2963.2430"
"Guatemala","4516","898","17915.5680"
"Kyrgyzstan","4034","828","6524.1950"
"Honduras","4848","821","9904.6070"
"Mauritania","6679","778","4649.6580"
"Botswana","3603","740","2351.6270"
"Georgia","2591","734","3989.1670"
"Angola","3534","720","32866.2720"
"Sri Lanka","3242","719","21413.2490"
"Tajikistan","5137","713","9537.6450"
"Haiti","2735","627","11402.5280"
"Egypt","3111","623","102334.4040"
"Iraq","4917","617","40222.4930"
"India","3168","616","1380004.3850"
"Laos","3379","615","7275.5600"
"Comoros","3912","598","869.6010"
"Sudan","3640","579","43849.2600"
"Bangladesh","2819","567","164689.3830"
"Indonesia","2199","541","273523.6150"
"Nepal","2718","519","29136.8080"
"Nigeria","2667","493","206139.5890"
"Pakistan","4060","480","220892.3400"
"Philippines","2401","478","109581.0780"
"Cambodia","2308","451","16718.9650"
"Republic of the Congo","2106","416","5518.0870"
"Cameroon","2075","403","26545.8630"
"Senegal","3897","402","16743.9270"
"Kenya","1870","402","53771.2960"
"Yemen","3178","400","29825.9640"
"Tanzania","2154","384","59734.2180"
"Afghanistan","4121","378","38928.3460"
"Chad","2394","338","16425.8640"
"DR Congo","1988","308","89561.4030"
"Niger","2708","307","24206.6440"
"Uganda","1775","296","45741.0070"
"Zambia","1501","287","18383.9550"
"Togo","571","279","8278.7240"
"Benin","1502","237","12123.2000"
"Rwanda","1101","235","12952.2180"
"Sierra Leone","2330","233","7976.9830"
"Madagascar","1013","205","27691.0180"
"Burkina Faso","1530","168","20903.2730"
"Mali","1983","165","20250.8330"
"Burundi","673","129","11890.7840"
"Liberia","781","118","5057.6810"
"Ghana","2050","47","31072.9400"
